Expression	Value	Location	Type	
Var_64	Error (col 1): Unknown or ambiguous symbol. Var_64			
ADC_Data	<array>	0x2000000C	short[1024]	
[0]	1645	0x2000000C	short	
[1]	2779	0x2000000E	short	
[2]	1255	0x20000010	short	
[3]	562	0x20000012	short	
[4]	2142	0x20000014	short	
[5]	1074	0x20000016	short	
[6]	2390	0x20000018	short	
[7]	1228	0x2000001A	short	
[8]	575	0x2000001C	short	
[9]	178	0x2000001E	short	
[10]	2310	0x20000020	short	
[11]	3169	0x20000022	short	
[12]	3688	0x20000024	short	
[13]	3836	0x20000026	short	
[14]	3922	0x20000028	short	
[15]	3992	0x2000002A	short	
[16]	1822	0x2000002C	short	
[17]	869	0x2000002E	short	
[18]	2291	0x20000030	short	
[19]	1181	0x20000032	short	
[20]	572	0x20000034	short	
[21]	2373	0x20000036	short	
[22]	3300	0x20000038	short	
[23]	3687	0x2000003A	short	
[24]	3803	0x2000003C	short	
[25]	1845	0x2000003E	short	
[26]	2760	0x20000040	short	
[27]	1400	0x20000042	short	
[28]	2885	0x20000044	short	
[29]	3469	0x20000046	short	
[30]	3799	0x20000048	short	
[31]	3885	0x2000004A	short	
[32]	3986	0x2000004C	short	
[33]	1892	0x2000004E	short	
[34]	1041	0x20000050	short	
[35]	2557	0x20000052	short	
[36]	3389	0x20000054	short	
[37]	3729	0x20000056	short	
[38]	3845	0x20000058	short	
[39]	1858	0x2000005A	short	
[40]	3100	0x2000005C	short	
[41]	3582	0x2000005E	short	
[42]	3725	0x20000060	short	
[43]	1826	0x20000062	short	
[44]	3081	0x20000064	short	
[45]	3574	0x20000066	short	
[46]	3828	0x20000068	short	
[47]	3954	0x2000006A	short	
[48]	2066	0x2000006C	short	
[49]	3051	0x2000006E	short	
[50]	3449	0x20000070	short	
[51]	1670	0x20000072	short	
[52]	800	0x20000074	short	
[53]	391	0x20000076	short	
[54]	138	0x20000078	short	
[55]	2156	0x2000007A	short	
[56]	3203	0x2000007C	short	
[57]	3637	0x2000007E	short	
[58]	3843	0x20000080	short	
[59]	3917	0x20000082	short	
[60]	3961	0x20000084	short	
[61]	3992	0x20000086	short	
[62]	1832	0x20000088	short	
[63]	952	0x2000008A	short	
[64]	426	0x2000008C	short	
